date,port_ret,n_stocks,bench_ret_000001.SH,excess_000001.SH,bench_ret_000300.SH,excess_000300.SH,bench_ret_000905.SZ,excess_000905.SZ
2018-02-28,-0.06847643,142,-0.06361275,-0.00486367,-0.05899511,-0.00948132,-0.04018692,-0.02828951
2018-03-30,-0.04150106,138,-0.02776928,-0.01373179,-0.03110212,-0.01039894,-0.04965920,0.00815814
2018-04-27,-0.04037245,179,-0.02734864,-0.01302381,-0.03632712,-0.00404533,-0.06045082,0.02007837
2018-05-31,0.00289745,189,0.00429627,-0.00139882,0.01211097,-0.00921351,0.01635769,-0.01346023
2018-06-29,-0.08135972,196,-0.08013494,-0.00122478,-0.07663403,-0.00472569,-0.15557940,0.07421968
2018-07-31,0.01627677,189,0.01017862,0.00609815,0.00190041,0.01437637,-0.00889454,0.02517131
2018-08-31,-0.05141984,190,-0.05254866,0.00112882,-0.05206682,0.00064698,-0.04871795,-0.00270189
2018-09-28,0.01505339,147,0.03526289,-0.02020951,0.03129740,-0.01624401,-0.04582210,0.06087549
2018-10-31,-0.06097424,149,-0.07746890,0.01649466,-0.08288825,0.02191401,-0.16949153,0.10851728
2018-11-30,0.00250995,142,-0.00560773,0.00811767,0.00598214,-0.00347219,0.15646259,-0.15395264
2018-12-28,-0.05016582,162,-0.03643140,-0.01373441,-0.05107224,0.00090643,-0.10882353,0.05865771
2019-01-31,0.07900312,141,0.03635925,0.04264387,0.06343456,0.01556856,-0.01485149,0.09385461
2019-02-28,0.13229586,130,0.13788795,-0.00559209,0.14609332,-0.01379746,0.18927973,-0.05698387
2019-03-29,0.05547794,137,0.05093728,0.00454066,0.05531491,0.00016303,0.25070423,-0.19522628
2019-04-30,0.01548637,164,-0.00401814,0.01950451,0.01055429,0.00493209,-0.06644144,0.08192781
2019-05-31,-0.06728651,173,-0.05835706,-0.00892945,-0.07242689,0.00514038,-0.09529554,0.02800903
2019-06-28,0.04207316,144,0.02766151,0.01441165,0.05394197,-0.01186882,0.01866667,0.02340649
2019-07-31,-0.00353148,136,-0.01556713,0.01203566,0.00255427,-0.00608575,-0.00785340,0.00432193
2019-08-30,-0.01775569,132,-0.01577808,-0.00197762,-0.00932705,-0.00842864,-0.06200528,0.04424958
2019-09-30,-0.00249060,122,0.00656658,-0.00905718,0.00393251,-0.00642310,0.01828411,-0.02077470
2019-10-31,0.01115974,135,0.00821527,0.00294448,0.01893385,-0.00777411,-0.01381215,0.02497190
2019-11-29,-0.01217871,139,-0.01948573,0.00730702,-0.01494340,0.00276469,-0.03781513,0.02563642
2019-12-31,0.06860153,132,0.06202781,0.00657372,0.06997507,-0.00137354,0.08733624,-0.01873471
2020-01-23,-0.02539239,129,-0.02412882,-0.00126357,-0.02262393,-0.00276846,-0.07496653,0.04957414
2020-02-28,-0.03040413,135,-0.03232770,0.00192357,-0.01594757,-0.01445656,-0.07670043,0.04629631
2020-03-31,-0.05017128,130,-0.04513677,-0.00503451,-0.06443923,0.01426795,-0.05329154,0.00312026
2020-04-30,0.04876790,148,0.03991788,0.00885002,0.06142501,-0.01265711,-0.01986755,0.06863545
2020-05-29,-0.02665301,132,-0.00270307,-0.02394994,-0.01164297,-0.01501005,0.02195946,-0.04861247
2020-06-30,0.03883681,131,0.04639082,-0.00755400,0.07678788,-0.03795106,0.06611570,-0.02727889
2020-07-31,0.10389853,138,0.10900098,-0.00510245,0.12754254,-0.02364401,0.11937984,-0.01548131
2020-08-31,0.03526925,131,0.02588243,0.00938682,0.02580786,0.00946139,-0.00277008,0.03803933
2020-09-30,-0.04393444,127,-0.05230927,0.00837482,-0.04751033,0.00357589,-0.07916667,0.03523222
2020-10-30,0.01171092,127,0.00201376,0.00969715,0.02352937,-0.01181845,-0.00904977,0.02076069
2020-11-30,0.07434215,127,0.05185949,0.02248266,0.05642157,0.01792058,0.10350076,-0.02915861
2020-12-31,0.03053443,120,0.02397408,0.00656035,0.05060965,-0.02007522,-0.01103448,0.04156891
2021-01-29,0.01142100,122,0.00287927,0.00854173,0.02699449,-0.01557350,-0.07949791,0.09091891
2021-02-26,0.01272093,130,0.00746790,0.00525303,-0.00284077,0.01556170,0.00303030,0.00969063
2021-03-31,-0.03189657,133,-0.01914145,-0.01275512,-0.05404031,0.02214374,0.07854985,-0.11044642
2021-04-30,-0.00558070,146,0.00143667,-0.00701738,0.01488172,-0.02046243,-0.05322129,0.04764058
2021-05-31,0.02659522,148,0.04892020,-0.02232498,0.04061307,-0.01401784,0.00443787,0.02215735
2021-06-30,-0.04864329,116,-0.00671566,-0.04192763,-0.02016828,-0.02847501,-0.01914580,-0.02949749
2021-07-30,-0.08917671,115,-0.05397632,-0.03520039,-0.07903297,-0.01014374,-0.05255255,-0.03662416
2021-08-31,0.02300574,119,0.04314612,-0.02014038,-0.00115556,0.02416130,0.05705230,-0.03404656
2021-09-30,0.02442298,122,0.00683606,0.01758691,0.01264620,0.01177678,-0.00749625,0.03191923
2021-10-29,0.00262413,123,-0.00583793,0.00846206,0.00871027,-0.00608614,-0.04229607,0.04492020
2021-11-30,-0.03503561,123,0.00466578,-0.03970139,-0.01563408,-0.01940153,0.17823344,-0.21326905
2021-12-31,0.05034710,142,0.02129366,0.02905344,0.02242275,0.02792435,0.00669344,0.04365366
2022-01-28,-0.06087809,164,-0.07647057,0.01559248,-0.07622932,0.01535123,-0.05319149,-0.00768660
2022-02-28,0.01742416,163,0.03000699,-0.01258284,0.00391648,0.01350768,0.07443820,-0.05701404
2022-03-31,-0.06127008,123,-0.06068310,-0.00058697,-0.07836684,0.01709676,0.00653595,-0.06780603
2022-04-29,-0.03398332,141,-0.06307740,0.02909407,-0.04886941,0.01488608,-0.10909091,0.07510758
2022-05-31,0.01105630,140,0.04573740,-0.03468110,0.01874305,-0.00768675,0.22594752,-0.21489122
2022-06-30,0.05583071,133,0.06659151,-0.01076080,0.09617292,-0.04034221,-0.06064209,0.11647280
2022-07-29,-0.06801062,122,-0.04277562,-0.02523501,-0.07021363,0.00220301,0.01265823,-0.08066885
2022-08-31,-0.00694612,133,-0.01570755,0.00876143,-0.02188476,0.01493864,0.00750000,-0.01444612
2022-09-30,-0.05708439,127,-0.05550895,-0.00157544,-0.06716490,0.01008051,-0.12158809,0.06450370
2022-10-31,-0.07624881,129,-0.04328396,-0.03296485,-0.07784253,0.00159372,0.02401130,-0.10026011
2022-11-30,0.11747558,124,0.08911489,0.02836069,0.09813685,0.01933873,0.05241379,0.06506179
2022-12-30,-0.01290914,132,-0.01969876,0.00678962,0.00482666,-0.01773580,-0.05373526,0.04082611
2023-01-31,0.05720106,123,0.05386773,0.00333333,0.07367019,-0.01646913,0.06648199,-0.00928094
2023-02-28,0.01230021,122,0.00735213,0.00494808,-0.02102528,0.03332549,-0.03376623,0.04606644
2023-03-31,0.00740490,126,-0.00205668,0.00946158,-0.00455417,0.01195907,-0.03091398,0.03831888
2023-04-28,0.02629954,151,0.01540377,0.01089576,-0.00539134,0.03169087,0.04576976,-0.01947023
2023-05-31,-0.05389945,147,-0.03572085,-0.01817860,-0.05721953,0.00332008,-0.00132626,-0.05257319
2023-06-30,0.00056547,138,-0.00078079,0.00134627,0.01155922,-0.01099375,0.03320053,-0.03263506
2023-07-31,0.04938357,132,0.02778756,0.02159601,0.04480954,0.00457403,0.04370180,0.00568177
2023-08-31,-0.05562500,125,-0.05200891,-0.00361609,-0.06211339,0.00648839,-0.10221675,0.04659175
2023-09-28,0.00135510,127,-0.00301329,0.00436840,-0.02011825,0.02147335,0.01234568,-0.01099058
2023-10-31,-0.03335952,130,-0.02948254,-0.00387699,-0.03171461,-0.00164491,-0.04878049,0.01542096
2023-11-30,-0.01965605,139,0.00361144,-0.02326748,-0.02135834,0.00170230,0.03276353,-0.05241958
2023-12-29,-0.01316090,143,-0.01806727,0.00490637,-0.01861817,0.00545727,-0.01103448,-0.00212642
2024-01-31,-0.01970357,169,-0.06265233,0.04294876,-0.06288289,0.04317932,-0.11854951,0.09884594
2024-02-29,0.09009365,174,0.08126917,0.00882448,0.09352967,-0.00343602,0.01107595,0.07901770
2024-03-29,0.00071169,162,0.00862163,-0.00790995,0.00608680,-0.00537511,0.00782473,-0.00711304
2024-04-30,0.01548609,143,0.02093197,-0.00544588,0.01891457,-0.00342848,0.00000000,0.01548609
2024-05-31,0.00494779,163,-0.00580100,0.01074879,-0.00678882,0.01173661,-0.01708075,0.02202853
2024-06-28,-0.03941756,173,-0.03868410,-0.00073346,-0.03303637,-0.00638119,-0.10742496,0.06800740
2024-07-31,0.00252984,166,-0.00965609,0.01218593,-0.00565411,0.00818395,0.03362832,-0.03109848
2024-08-30,-0.03070934,153,-0.03284904,0.00213970,-0.03505205,0.00434271,-0.04452055,0.01381121
2024-09-30,0.18444927,154,0.17390779,0.01054148,0.20967527,-0.02522600,0.15770609,0.02674318
2024-10-31,-0.02825693,139,-0.01698578,-0.01127115,-0.03156284,0.00330591,0.01547988,-0.04373681
2024-11-29,0.00132157,136,0.01421762,-0.01289605,0.00656472,-0.00524316,0.01829268,-0.01697112
2024-12-31,0.01807905,141,0.00760789,0.01047116,0.00467951,0.01339954,0.07185629,-0.05377724
2025-01-27,-0.02994673,136,-0.03018182,0.00023509,-0.02994495,-0.00000178,0.00279330,-0.03274003
2025-02-28,0.00548944,139,0.02162573,-0.01613629,0.01911631,-0.01362688,-0.03203343,0.03752286
2025-03-31,0.00887746,141,0.00447135,0.00440611,-0.00070516,0.00958262,0.08776978,-0.07889232
2025-04-30,-0.02697184,141,-0.01700213,-0.00996970,-0.03002982,0.00305799,-0.02248677,-0.00448506
2025-05-30,0.00700582,142,0.02087687,-0.01387104,0.01847514,-0.01146931,0.07848444,-0.07147862
2025-06-30,0.02798754,143,0.02895853,-0.00097099,0.02495859,0.00302895,0.01003764,0.01794990
2025-07-31,0.01974218,142,0.03738870,-0.01764652,0.03544444,-0.01570225,0.03105590,-0.01131372
2025-08-29,0.04815793,165,0.07968167,-0.03152374,0.10333909,-0.05518116,0.06626506,-0.01810713
2025-09-30,-0.01903614,146,0.00644128,-0.02547742,0.03200847,-0.05104461,-0.07344633,0.05441019
2025-10-31,0.02465539,139,0.01854667,0.00610872,-0.00000558,0.02466097,0.27439024,-0.24973485
2025-11-28,-0.01116699,142,-0.01673763,0.00557064,-0.02456672,0.01339973,0.03444976,-0.04561675
2025-12-31,0.01464609,143,0.02063570,-0.00598961,0.02281547,-0.00816938,0.20906568,-0.19441959
